mlbam,bbref,fangraphs,retro,name
808338,,,,Pedro Ibarguen
680996,,,,Luke Mann
804240,,,,Jacob Burke
687005,,,,Kellen Strahm
688029,,,,Blake Loubier
815085,,,,Isaac Silva
701480,,,,Bryce Cunningham
694858,,,,Brendan Girton
701336,,,,Davion Hickson
694391,,,,Austin Vernon
663739,,,,Kyle Molnar
702255,,,,Brandon Barriera
607732,stallja01,13723,stalj001,Jacob Stallings
680814,burdipe01,25459,burdp001,Peyton Burdick
680723,romdr01,24602,rom-d001,Drew Rom
700339,,,,Jonaiker Sandoval
828774,,,,Jack Hostetler
695445,leech02,29574,lee-c005,Chase Lee
800348,,,,Edwin Amparo
622463,,,,Daniel Fajardo
687632,,,,Jacob Herbert
807291,,,,Caden Scarborough
694749,,,,Dylan Campbell
663364,,,,Julian Infante
702130,,,,Danny Watson
701515,,,,Kade Woods
669067,,,,Ryan Webb
828118,,,,Leamsi Montanez
656577,jacksal02,17276,jacka002,Alex Jackson
802599,,,,Jack Penney
825094,,,,Nick Dumesnil
813989,,,,Talon Haley
802411,,,,JT Quinn
703813,,,,Woo Yeoul Shin
702461,,,,Kay-Lan Nicasia
668792,,,,Pat DeMarco
690992,,,,Ed Howard
686523,,,,Peyton Wilson
650496,mejiaje02,20617,mejij002,J. C. Mejía
686474,,,,Kurtis Byrne
694671,langfwy01,33333,langw001,Wyatt Langford
840230,,,,Jesus Mancera
691797,,,,Ryan Spikes
816053,,,,Shane Brinham
804999,,,,Cameron Keshock
675631,,,,Sam Kessler
680892,,,,Shane Kelso
807256,,,,Josh Springer
815979,,,,Angel Cervantes
685410,battepe01,25777,battp001,Peyton Battenfield
701305,dezenza01,31562,dezez001,Zach Dezenzo
572008,owingch01,10030,owinc001,Chris Owings
681897,,,,Alec Barger
695554,,,,Tayden Hall
687580,,,,Manny Collier
682995,barcohu01,33174,barch001,Hunter Barco
700268,,,,Elchero Francisca
670224,misneka01,26374,misnk001,Kameron Misner
674937,,,,Shane Combs
689322,,,,Logan Steenstra
669467,pallaan01,26108,palla001,Andre Pallante
681449,,,,Brandon White
687286,,,,Kyle Smith
680764,,,,Jared Poland
687453,,,,Chandler Casey
687467,,,,Braden Olthoff
830336,,,,Mason Peters
689266,dodddy01,29928,doddd001,Dylan Dodd
676059,westbjo01,27815,westj002,Jordan Westburg
830012,,,,Benjamin Vasquez
823356,,,,Payton Eeles
696519,natersa01,,,Samy Natera
686672,,,,Mark Adamiak
694492,,,,Hayden Durke
800426,,,,Raylin Ramos
806152,,,,Walker Martin
669939,,,,Andre Nnebe
685325,,,,Cam Beauchamp
835005,,,,Josue Rodriguez
695930,,,,Frederick Bencosme
800970,,,,Landry Jurecka
687060,,,,Blake Adams
701162,malgebe01,,,Ben Malgeri
835879,,,,Yu-Lin Liao
829067,,,,Cristopher Acosta
691327,,,,César Alvarez
695603,,,,Benny Montgomery
684665,,,,Luke Murphy
696524,,,,Evan Yates
674674,,,,T. J. Sikkema
801039,,,,John Garcia
657656,laurera01,17128,laurr001,Ramón Laureano
686663,,,,Zarion Sharpe
687020,,,,Mason Auer
675629,,,,Chase Illig
806128,,,,Antonio Jimenez
669194,nelsory01,26253,nelsr003,Ryne Nelson
823844,,,,Andy Tena
814422,,,,Derek Bender
677056,,,,Ridge Chapman
620986,,,,Jefferson Medina
681036,,,,Anthony Vilar
686842,mooremc01,25663,moorm004,McKinley Moore
701817,,,,River Town
692285,guerrlu01,31184,guerl001,Luis Guerrero
700400,,,,Matt Ager
672564,,,,Andersson Espinal
607054,peterja01,12325,petej002,Jace Peterson
663765,woodfja01,18674,woodj003,Jake Woodford
691795,,,,Brock Selvidge
815065,,,,Hunter Mann
666277,soriage01,21863,sorig001,George Soriano
668674,erceglu01,19360,ercel001,Lucas Erceg
542583,aguilje01,11342,aguij001,Jesús Aguilar
806288,,,,Stefan Raeth
687066,yanger01,27698,yange001,Eric Yang
687650,,,,Denson Hull
620454,castijo03,17169,castj007,José Castillo
816384,,,,Sam Robertson
802609,,,,John Michael Bertrand
701337,,,,Ethan Petry
803475,,,,Colby Jones
701400,,,,Gavin Adams
828097,,,,Peter Kussow
694843,,,,Bayden Root
695740,,,,Jimmy Romano
695481,,,,Jay Allen
702457,,,,Colby Smelley
701546,,,,Duce Gourson
687605,,,,Andrew Pinckney
691330,,,,Moisés Chace
669668,,,,Cameron Junker
801126,,,,Brock Rodden
671969,,,,Adam Tulloch
612434,castrmi01,15684,castm002,Miguel Castro
668715,steersp01,26323,stees001,Spencer Steer
687723,,,,Levi Thomas
663581,,,,Scotty Bradley
827292,,,,John Holobetz
687187,,,,Sebastian Keane
681286,,,,JT Schwartz
695570,,,,Jonathan Vastine
808162,,,,Joshua Liranzo
837327,,,,Wilmer Duarte
802219,,,,Woody Hadeen
669283,,,,Drew Parrish
676835,,,,Corey Stone
815551,,,,Trey Snyder
804981,,,,Riley Quick
682722,,,,Isaac De León
801686,,,,Michael Carico
699546,,,,Jamie Hitt
692243,,,,Jaden Woods
687903,,,,Tyler Garbee
821158,,,,Jonathan Rangel
687150,,,,Scott Politz
665158,,,,Nick Conti
822743,,,,Tyriq Kemp
808660,,,,Jose Yan
687554,,,,DJ Gladney
689691,,,,Casey Combs
696264,,,,Tyler Whitaker
687841,,,,Andrew Magno
811358,,,,Jacob Gholston
676913,,,,Zach Jarrett
820836,,,,Blake Larson
695752,,,,Joey Spence
695734,lileda01,29995,liled001,Daylen Lile
807743,sullise01,,,Sean Sullivan
693824,,,,Cole Quintanilla
656914,,,,Kaleb Roper
686705,,,,Daniel Ouderkirk
687817,,,,Andrew Marrero
686976,,,,Silas Ardoin
685301,gorskma01,25855,gorsm001,Matt Gorski
829830,,,,Roniel Paulino
688446,,,,James Ryan
694896,,,,Caden Rose
679056,,,,Conor Dryer
700930,,,,Levi David
826928,,,,Owen Carey
815985,,,,Ty Peeples
702652,,,,Andrew Fischer
543548,milonto01,7608,milot001,Tommy Milone
805971,,,,Evan Chrest
815830,,,,Dean Moss
836172,,,,Peyton Niksch
828145,,,,Mikey Cascino
671109,ederja01,27590,ederj001,Jake Eder
686676,leeko01,25543,lee-k002,Korey Lee
694360,waybe01,,,Beck Way
674265,,,,Kevin Abel
694966,,,,Brayden Taylor
702284,youngco01,31680,younc005,Cole Young
657088,wallfo01,16496,wallf001,Forrest Wall
687036,,,,Zach Zubia
827610,,,,Brandon Cain
681479,,,,Tanner Brubaker
694312,,,,Logan Workman
685124,,,,Nathan Burns
815343,,,,Myles Bailey
702987,,,,Cameron Johnson
804523,,,,Casey Steward
695569,,,,Luke Hayden
687718,,,,Zane Zurbrugg
663382,,,,Jake Washer
701328,,,,Jackson Ferris
621139,kriskbr01,21189,krisb001,Brooks Kriske
814098,,,,Sam Armstrong
673983,,,,Josh Bissonette
689950,,,,Liam McGill
690989,,,,Ben Hernandez
801629,,,,Cade McGee
805261,,,,Cade Obermueller
672277,,,,Sam Carlson
673893,,,,Trevor Schwecke
605353,machivi01,17684,machv001,Vimael Machín
669310,,,,CJ Van Eyk
834985,,,,Dalton Neuschwander
800961,,,,Collin Rothermel
686845,,,,Tommy Jew
656730,megiltr01,17722,megit001,Trevor Megill
702505,,,,JD Thompson
695370,,,,Thomas Francisco
687608,,,,Liam Spence
676349,,,,Mike Rothenberg
693685,,,,Andrew Vail
809707,,,,Charlie Condon
673901,,,,Vaun Brown
685297,,,,Cole Barr
690999,,,,Blake Money
686982,,,,Jared McKenzie
592280,eadesry01,14808,eader001,Ryan Eades
663780,,,,Brock Love
664771,,,,Joey Matulovich
821197,,,,Juan Martinez
