date,channel,direction,assets_in,assets_out,unresolved,desc
2021-02-17,fa_minor,in,Matt Harvey,,0,Baltimore Orioles signed free agent RHP Matt Harvey to a minor league contract and invited him to spring training.
2021-03-04,fa_major,in,Manny Barreda,,0,Baltimore Orioles signed free agent P Manny Barreda.
2021-03-16,fa_major,in,Maikel Franco,,0,Baltimore Orioles signed free agent 3B Maikel Franco.
2021-03-18,waiver_loss,out,,Ashton Goudeau,0,San Francisco Giants claimed P Ashton Goudeau off waivers from Baltimore Orioles.
2021-03-22,fa_major,in,Ty Blach,,0,Baltimore Orioles signed free agent P Ty Blach.
2021-03-23,fa_major,in,Ramón Rodríguez,,0,Baltimore Orioles signed free agent C Ramon Rodriguez.
2021-03-26,fa_major,in,Wade LeBlanc,,0,Baltimore Orioles signed free agent P Wade LeBlanc.
2021-03-27,trade,both,Adam Plutko,,1,Cleveland Indians traded P Adam Plutko to Baltimore Orioles for cash.
2021-03-30,passive_loss,out,,Yolmer Sánchez,0,Baltimore Orioles released 2B Yolmer Sanchez.
2021-05-08,waiver_claim,in,Brandon Waddell,,0,Baltimore Orioles claimed LHP Brandon Waddell off waivers from Minnesota Twins.
2021-05-11,waiver_loss,out,,Jay Flaa,0,Atlanta Braves claimed RHP Jay Flaa off waivers from Baltimore Orioles.
2021-05-24,waiver_loss,out,,Rio Ruiz,0,Colorado Rockies claimed 3B Rio Ruiz off waivers from Baltimore Orioles.
2021-06-04,waiver_claim,in,Domingo Leyba,,0,Baltimore Orioles claimed SS Domingo Leyba off waivers from Arizona Diamondbacks.
2021-06-06,waiver_loss,out,,Brandon Waddell,0,St. Louis Cardinals claimed LHP Brandon Waddell off waivers from Baltimore Orioles.
2021-06-09,fa_minor,in,Logan Gillaspie,,0,Baltimore Orioles signed free agent RHP Logan Gillaspie to a minor league contract.
2021-06-15,trade,both,Jose Berroa,Taylor Davis,0,Pittsburgh Pirates traded CF Jose Berroa to Baltimore Orioles for 3B Taylor Davis.
2021-06-25,waiver_loss,out,,Chance Sisco,0,New York Mets claimed C Chance Sisco off waivers from Baltimore Orioles.
2021-07-02,fa_minor,in,Pedro Figueroa,,0,Baltimore Orioles signed free agent RHP Pedro Figueroa to a minor league contract.
2021-07-03,waiver_claim,in,Shaun Anderson,,0,Baltimore Orioles claimed RHP Shaun Anderson off waivers from Texas Rangers.
2021-07-03,trade,both,Kelvin Gutiérrez,,1,Kansas City Royals traded 3B Kelvin Gutierrez to Baltimore Orioles for cash.
2021-07-05,fa_minor,in,Gregori Vasquez,,0,Baltimore Orioles signed free agent RHP Gregori Vasquez to a minor league contract.
2021-07-10,trade,both,Hugo Beltran,,1,Los Angeles Dodgers traded RHP Hugo Beltran to Baltimore Orioles for cash.
2021-07-14,fa_minor,in,Carson Carter,,0,Baltimore Orioles signed free agent RHP Carson Carter to a minor league contract.
2021-07-14,fa_minor,in,Daniel Federman,,0,Baltimore Orioles signed free agent RHP Daniel Federman to a minor league contract.
2021-07-14,signed_other,in,Logan Michaels,,0,Baltimore Orioles signed C Logan Michaels.
2021-07-15,fa_minor,in,Preston Price,,0,Baltimore Orioles signed free agent RHP Preston Price to a minor league contract.
2021-07-16,signed_other,in,Connor Norby,,0,Baltimore Orioles signed 2B Connor Norby.
2021-07-17,signed_other,in,Colton Cowser,,0,Baltimore Orioles signed OF Colton Cowser.
2021-07-20,fa_minor,in,Eduardo Torres,,0,Baltimore Orioles signed free agent RHP Eduardo Torres to a minor league contract.
2021-07-22,signed_other,in,Dylan Heid,,0,Baltimore Orioles signed RHP Dylan Heid.
2021-07-23,signed_other,in,Justin Armbruester,,0,Baltimore Orioles signed RHP Justin Armbruester.
2021-07-23,signed_other,in,Ryan Long,,0,Baltimore Orioles signed RHP Ryan Long.
2021-07-23,signed_other,in,Peter Van Loon,,0,Baltimore Orioles signed RHP Peter Van Loon.
2021-07-23,signed_other,in,Ryan Higgins,,0,Baltimore Orioles signed 3B Ryan Higgins.
2021-07-23,signed_other,in,Creed Willems,,0,Baltimore Orioles signed C Creed Willems.
2021-07-23,signed_other,in,Conor Grady,,0,Baltimore Orioles signed RHP Conor Grady.
2021-07-23,signed_other,in,Jacob Teter,,0,Baltimore Orioles signed 1B Jacob Teter.
2021-07-23,signed_other,in,Alex Pham,,0,Baltimore Orioles signed RHP Alex Pham.
2021-07-23,signed_other,in,Keagan Gillies,,0,Baltimore Orioles signed RHP Keagan Gillies.
2021-07-23,signed_other,in,Billy Cook,,0,Baltimore Orioles signed OF Billy Cook.
2021-07-23,signed_other,in,Carlos Tavera,,0,Baltimore Orioles signed RHP Carlos Tavera.
2021-07-23,signed_other,in,Reed Trimble,,0,Baltimore Orioles signed OF Reed Trimble.
2021-07-24,signed_other,in,Collin Burns,,0,Baltimore Orioles signed SS Collin Burns.
2021-07-24,signed_other,in,Connor Pavolony,,0,Baltimore Orioles signed C Connor Pavolony.
2021-07-27,fa_minor,in,Duany Gomez,,0,Baltimore Orioles signed free agent RHP Duany Gomez to a minor league contract.
2021-07-27,signed_other,in,Daniel Lloyd,,0,Baltimore Orioles signed RHP Daniel Lloyd.
2021-07-30,waiver_claim,in,Ryan Hartman,,0,Baltimore Orioles claimed LHP Ryan Hartman off waivers from Houston Astros.
